job_id,company_name,job_title,salary_raw,disclosure_status,pay_period,rmb_min,rmb_max,salary_months,parse_note
JOB_0227,宇信科技,【实习】大模型应用开发工程师（2027届，有留用机会）(J12974),150-300元/天,numeric_disclosed,day,150.0,300.0,,
JOB_0228,宇信科技,【实习】JAVA开发工程师（有转正机会）(J12753),150-250元/天,numeric_disclosed,day,150.0,250.0,,
JOB_0229,宇信科技,【实习】大数据开发工程师（有转正机会）(J12571),150-300元/天,numeric_disclosed,day,150.0,300.0,,
JOB_0230,神州信息,高级java组长(J16069),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0231,神州信息,中级java开发工程师(J17189),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0232,神州信息,软件工程师(J12245),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0233,神州信息,软件工程师(J22429),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0234,神州信息,软件工程师(J22380),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0235,神州信息,软件工程师(J22342),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0236,神州信息,软件工程师(J22337),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0237,神州信息,软件工程师(J22248),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0238,神州信息,软件工程师(J22215),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0239,神州信息,软件测试工程师(J22212),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0240,神州信息,软件工程师(J22130),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0241,神州信息,27届提前批-Java开发工程师（上海）(J22222),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0242,神州信息,27届提前批-Java开发工程师（西安）(J21822),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0243,神州信息,27届提前批-Java开发工程师（北京）(J21821),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0244,长亮科技,销售经理（大数据产品）,面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0245,长亮科技,销售经理,面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
