episode,simulated_reward,rolling_mean_reward_200
1758,0.375,0.505
1759,0.25,0.503125
1760,0.625,0.503125
1761,0.625,0.503125
1762,0.625,0.503125
1763,0.625,0.503125
1764,0.625,0.503125
1765,0.625,0.503125
1766,0.625,0.50625
1767,0.625,0.50625
1768,0.625,0.50625
1769,0.625,0.50625
1770,0.625,0.50625
1771,0.625,0.50625
1772,0.625,0.50625
1773,0.625,0.50625
1774,0.125,0.50375
1775,0.25,0.501875
1776,0.625,0.503125
1777,0.625,0.503125
1778,0.125,0.500625
1779,0.625,0.5025
1780,0.625,0.5025
1781,0.625,0.5025
1782,0.625,0.5025
1783,0.25,0.501875
1784,0.625,0.501875
1785,0.0,0.50125
1786,0.125,0.49875
1787,0.625,0.50125
1788,0.125,0.501875
1789,0.625,0.501875
1790,0.25,0.501875
1791,0.625,0.501875
1792,0.625,0.501875
1793,0.625,0.501875
1794,0.125,0.499375
1795,0.625,0.499375
1796,0.625,0.499375
1797,0.625,0.499375
1798,0.625,0.499375
1799,0.625,0.501875
1800,0.5,0.50125
1801,0.625,0.50125
1802,0.0,0.498125
1803,0.625,0.50125
1804,0.375,0.5
1805,0.625,0.503125
1806,0.625,0.503125
1807,0.625,0.503125
1808,0.125,0.50375
1809,0.125,0.50375
1810,0.625,0.50375
1811,0.375,0.5025
1812,0.625,0.5025
1813,0.625,0.5025
1814,0.625,0.5025
1815,0.25,0.500625
1816,0.625,0.501875
1817,0.625,0.501875
1818,0.625,0.501875
1819,0.625,0.501875
1820,0.625,0.501875
1821,0.0,0.5
1822,0.625,0.5
1823,0.625,0.5
1824,0.25,0.498125
1825,0.625,0.50125
1826,0.625,0.50125
1827,0.625,0.50375
1828,0.375,0.5025
1829,0.625,0.5025
1830,0.625,0.5025
1831,0.125,0.5025
1832,0.625,0.5025
1833,0.625,0.5025
1834,0.375,0.50125
1835,0.625,0.50125
1836,0.625,0.50125
1837,0.625,0.501875
1838,0.625,0.504375
1839,0.0,0.50125
1840,0.625,0.50125
1841,0.625,0.50375
1842,0.125,0.50125
1843,0.625,0.50375
1844,0.625,0.506875
1845,0.625,0.506875
1846,0.0,0.50375
1847,0.625,0.505625
1848,0.625,0.505625
1849,0.625,0.505625
1850,0.625,0.5075
1851,0.0,0.504375
1852,0.625,0.504375
1853,0.625,0.5075
1854,0.625,0.5075
1855,0.125,0.505
1856,0.625,0.505
1857,0.625,0.505
1858,0.625,0.505
1859,0.625,0.505
1860,0.25,0.503125
1861,0.625,0.505625
1862,0.625,0.505625
1863,0.625,0.505625
1864,0.625,0.505625
1865,0.625,0.505625
1866,0.25,0.50375
1867,0.0,0.500625
1868,0.625,0.500625
1869,0.625,0.501875
1870,0.625,0.501875
1871,0.625,0.501875
1872,0.625,0.501875
1873,0.625,0.501875
1874,0.625,0.501875
1875,0.125,0.499375
1876,0.625,0.499375
1877,0.625,0.501875
1878,0.625,0.501875
1879,0.375,0.500625
1880,0.625,0.501875
1881,0.625,0.501875
1882,0.625,0.501875
1883,0.125,0.499375
1884,0.625,0.499375
1885,0.625,0.5025
1886,0.0,0.499375
1887,0.625,0.499375
1888,0.625,0.499375
1889,0.625,0.499375
1890,0.625,0.499375
1891,0.625,0.499375
1892,0.625,0.499375
1893,0.0,0.49875
1894,0.625,0.49875
1895,0.625,0.50125
1896,0.625,0.50375
1897,0.625,0.50375
1898,0.625,0.50625
1899,0.625,0.50625
1900,0.625,0.50625
1901,0.625,0.50625
1902,0.625,0.50875
1903,0.625,0.50875
1904,0.625,0.50875
1905,0.625,0.51125
1906,0.625,0.51125
1907,0.625,0.51125
1908,0.625,0.51375
1909,0.625,0.51625
1910,0.0,0.51625
1911,0.625,0.51625
1912,0.625,0.519375
1913,0.625,0.519375
1914,0.625,0.519375
1915,0.125,0.516875
1916,0.625,0.516875
1917,0.625,0.516875
1918,0.625,0.516875
1919,0.625,0.52
1920,0.625,0.52
1921,0.625,0.52
1922,0.625,0.523125
1923,0.625,0.523125
1924,0.625,0.523125
1925,0.25,0.52375
1926,0.625,0.52375
1927,0.125,0.52375
1928,0.625,0.52375
1929,0.375,0.5225
1930,0.625,0.5225
1931,0.625,0.5225
1932,0.625,0.5225
1933,0.625,0.5225
1934,0.0,0.519375
1935,0.625,0.521875
