company_code,company_name,report_year,metric,value_yuan,source_page,source_excerpt,page_metric_coverage,extraction_method,unit_multiplier,verification_status
300059.SZ,东方财富,2025,net_profit_attributable_yuan,12084594947.22,7,"归属于上市公司股东的净利润（元）12,084,594,947.229,610,120,743.6425.75%8,193,469,277.99归属于上市公司股东的扣除非经常性11,653,886,754.899,253,228,906.8125.94%7,861,598,966.25损益的净利润（元）经营活动产生的现金流量净额（元）-10,222,245,645.1444,587,872,891.43-122.93%-3,137,724",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300059.SZ,东方财富,2025,total_assets_yuan,392933744976.2,7,"资产总额（元）392,933,744,976.20306,369,357,347.3028.25%239,578,320,552.16归属于上市公司股东的净资产（元）91,875,470,955.3180,727,090,522.6313.81%71,962,860,559.82注：公司营业总收入不包括证券业务产生的投资收益及公允价值变动损益。公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
600446.SH,金证股份,2025,revenue_yuan,2418857503.49,6,"2,418,857,503.49",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
600446.SH,金证股份,2025,net_profit_attributable_yuan,-168353895.22,6,"-168,353,895.22",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
600446.SH,金证股份,2025,total_assets_yuan,5458738027.91,6,"5,458,738,027.91",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
300377.SZ,赢时胜,2025,revenue_yuan,1373047831.21,10,"1,373,047,831.21",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
300377.SZ,赢时胜,2025,net_profit_attributable_yuan,-5260651.89,10,"-5,260,651.89",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
300377.SZ,赢时胜,2025,total_assets_yuan,2754606206.17,10,"2,754,606,206.17",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
300674.SZ,宇信科技,2025,revenue_yuan,3623081673.57,11,"3,623,081,673.57",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
300674.SZ,宇信科技,2025,net_profit_attributable_yuan,431843595.03,11,"431,843,595.03",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
300674.SZ,宇信科技,2025,total_assets_yuan,6818799864.19,11,"6,818,799,864.19",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
000555.SZ,神州信息,2025,revenue_yuan,2159704694.07,11,"营业收入2,159,704,694.072,263,492,495.054,250,075,658.774,489,539,057.63归属于上市公司股东-92,942,582.20-3,437,047.15-10,418,372.55163,226,336.36的净利润归属于上市公司股东的扣除非经常性损益-100,262,269.683,039,952.85-31,035,667.03140,235,300.77的净利润经营活动产生的",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
000555.SZ,神州信息,2025,net_profit_attributable_yuan,5688129419.01,11,"归属于上市公司股东5,688,129,419.015,643,853,668.620.78%6,232,286,669.17的净资产（元）公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性□是否公司报告期内经审计利润总额、净利润、扣除非经常性损益后的净利润三者孰低为负值□是否存在股权激励、员工持股计划的公司，可以披露扣除股份支付影响后的净利润本期比上年同期增减主要会计数据",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
000555.SZ,神州信息,2025,total_assets_yuan,12525575558.1,11,"总资产（元）12,525,575,558.1011,979,374,002.814.56%12,815,505,492.23归属于上市公司股东5,688,129,419.015,643,853,668.620.78%6,232,286,669.17的净资产（元）公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性□是否公司报告期内经审计利润总额、净利润、扣除非经常性损益后的净",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300348.SZ,长亮科技,2025,revenue_yuan,1957934999.09,11,"营业收入（元）1,957,934,999.091,736,421,794.4012.76%1,917,862,625.17归属于上市公司股东20,596,720.5918,585,986.7810.82%32,146,344.61的净利润（元）归属于上市公司股东的扣除非经常性损益15,120,729.3214,175,479.806.67%25,736,587.95的净利润（元）经营活动产生的现金147,982,356.92120,23",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300348.SZ,长亮科技,2025,net_profit_attributable_yuan,20596720.59,11,"归属于上市公司股东20,596,720.5918,585,986.7810.82%32,146,344.61的净利润（元）归属于上市公司股东的扣除非经常性损益15,120,729.3214,175,479.806.67%25,736,587.95的净利润（元）经营活动产生的现金147,982,356.92120,235,160.9123.08%105,700,561.47流量净额（元）基本每股收益（元/0.02540.02434.53%",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300348.SZ,长亮科技,2025,total_assets_yuan,2951093993.73,11,"资产总额（元）2,951,093,993.732,884,860,960.822.30%2,506,063,390.91归属于上市公司股东2,148,273,969.952,117,035,571.461.48%1,581,599,839.12的净资产（元）公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性□是否公司报告期内经审计利润总额、净利润、扣除非经常性损益后的净利润",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300872.SZ,天阳科技,2025,revenue_yuan,1776871711.48,9,"营业收入（元）1,776,871,711.481,766,211,579.540.60%1,935,801,733.00归属于上市公司股东-138,135,742.4977,503,842.69-278.23%116,728,781.98的净利润（元）归属于上市公司股东的扣除非经常性损益-197,741,499.702,716,502.32-7,379.27%63,942,346.47的净利润（元）经营活动产生的现金133,634,87",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300872.SZ,天阳科技,2025,net_profit_attributable_yuan,-138135742.49,9,"归属于上市公司股东-138,135,742.4977,503,842.69-278.23%116,728,781.98的净利润（元）归属于上市公司股东的扣除非经常性损益-197,741,499.702,716,502.32-7,379.27%63,942,346.47的净利润（元）经营活动产生的现金133,634,874.50122,660,310.108.95%406,294,866.95流量净额（元）基本每股收益（元/-0.290.",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300872.SZ,天阳科技,2025,total_assets_yuan,4784424654.8,9,"资产总额（元）4,784,424,654.804,197,801,354.2613.97%4,037,096,683.54归属于上市公司股东3,583,408,269.693,221,078,383.7111.25%2,593,605,844.12的净资产（元）公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性□是否公司报告期内经审计利润总额、净利润、扣除非经常性损益后的净",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
